countries,gdp_per_captia,happiness,life_expectancy_men,life_expectancy_women,Suicide rate,,Life average,Men average,Women average
Japan,"41,672",6.444,84,89.5,18.5,,86.75,72.15785714,77.07642857
Kyrgyzstan,"3,421",5.538,81.2,87,21.5,,84.1,,
Italy,"33,362",6.442,82.7,87,10.6,,84.85,,
Malawi,806,7.143,82.5,86.5,10.3,,84.5,,
France,"43,828",6.657,82,86.2,14.3,,84.1,,
Pakistan,"1,626",7.594,82.2,86.1,9.6,,84.15,,
United States,"65,112",6.71,82.5,85.9,14,,84.2,,
Greece,"24,362",6.456,81.5,85.7,18.5,,83.6,,
Switzerland,"83,832",6.346,82,85.5,12.9,,83.75,,
Mauritius,"13,931",6.441,82,85.5,13.4,,83.75,,
Niger,947,7.286,81.5,85,12.7,,83.25,,
Nicaragua,"2,942",7.488,82,85,14.4,,83.5,,
Andorra,"46,622",6.955,81.7,84.8,18.9,,83.25,,
Iceland,"73,181",7.594,81.8,84.8,14.6,,83.3,,
Finland,"43,966",7.769,80.6,84.6,16.6,,82.6,,
Israel,"41,260",7.488,82.5,84.6,12.9,,83.55,,
Australia,"59,542",7.313,80.5,84.3,10.7,,82.4,,
Ireland,"75,638",6.977,81.1,84.2,10.8,,82.65,,
Austria,"61,906",7.456,81.2,84.2,11.5,,82.7,,
Chile,"19,266",6.744,78.7,84.1,17.1,,81.4,,
Germany,"50,746",6.995,79.5,84.1,12.5,,81.8,,
Cape Verde,"3,401",7.632,80.8,84.1,17.8,,82.45,,
Belgium,"45,532",7.409,80.5,83.5,15.2,,82,,
Costa Rica,"10,918",6.707,79.1,83.1,12.1,,81.1,,
Spain,"29,542",6.442,77.1,82.9,11.5,,80,,
Paraguay,"4,527",6.701,78.2,82.8,15,,80.5,,
Denmark,"60,069",7.596,78.9,82.7,11.3,,80.8,,
Cyprus,"30,902",6.749,78.6,82.6,14.1,,80.6,,
United Kingdom,"39,720",6.42,78.1,82.5,11.1,,80.3,,
Latvia,"19,945",6.107,78.1,82,33.2,,80.05,,
Czech Republic,"22,982",6.646,76.9,81.8,18.6,,79.35,,
Estonia,"21,179",6.899,74.6,81.6,24.6,,78.1,,
China,"10,097",5.906,76.1,81.5,16.1,,78.8,,
Croatia,"13,931",5.872,76.5,81.5,17.4,,79,,
Ecuador,"6,755",5.958,76.5,81.5,13.5,,79,,
Cuba,"7,623",6.376,78.1,81.5,15,,79.8,,
Albania,"4,932",4.959,74.8,81.3,32.4,,78.05,,
Liberia,647,6.646,74.8,81.3,13.3,,78.05,,
Poland,"18,746",6.139,74.9,81.3,20.3,,78.1,,
Mongolia,"4,927",6.578,76.3,81.3,32.1,,78.8,,
Philippines,"3,150",5.841,75,81.2,11.3,,78.1,,
Palau,"14,947",6.306,76.4,81,15.9,,78.7,,
Madagascar,"1,266",6.643,74.3,80.8,11.9,,77.55,,
Malaysia,"10,906",5.526,75.5,80.8,14.1,,78.15,,
Libya,"6,971",5.466,76.5,80.8,14.9,,78.65,,
Bosnia and Herzegovina,"5,632",5.246,74.1,80.6,28.1,,77.35,,
Thailand,"6,792",6.39,76.3,80.6,27.8,,78.45,,
Myanmar,"1,495",5.679,76.4,80.5,11.2,,78.45,,
Laos,"2,398",5.362,74.4,80.4,14.3,,77.4,,
Argentina,"14,647",6.365,74.7,80.4,18.5,,77.55,,
Cambodia,"1,387",5.507,74.5,80.2,15.5,,77.35,,
Hungary,"15,421",5.958,74.8,80.2,18.5,,77.5,,
Papua New Guinea,"2,939",5.995,74.4,80.1,15.9,,77.25,,
Grenada,"8,917",5.854,74.6,79.6,16.5,,77.1,,
Morocco,"4,067",5.936,74,79.5,13.1,,76.75,,
Armenia,"3,456",4.853,72.6,79.4,39.7,,76,,
Namibia,"5,647",5.253,74.4,79.4,21.6,,76.9,,
Macedonia,"7,387",6.342,74.4,79.4,21.4,,76.9,,
Dominica,"9,719",6.175,74.5,79.2,15.2,,76.85,,
Georgia,"4,361",5.225,74,79.1,28.2,,76.55,,
Algeria,"4,534",5.605,73.3,78.9,15.6,,76.1,,
Antigua and Barbuda,"14,447",6.102,74.4,78.9,18.8,,76.65,,
Moldova,"2,547",5.974,73.5,78.8,29.5,,76.15,,
